                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0599,                0.67025,                 1.3642,                0.82421,                0.64013,                0.65691,                0.44051,                 1.4742,                 1.4546,                 1.7562,              0.0004192,              0.0004192,              0.0004192
                     46,                 1.1008,                0.68069,                 1.3701,                0.81017,                0.61993,                0.67103,                0.44606,                 1.4246,                 1.3891,                 1.7131,               0.000406,               0.000406,               0.000406
                     47,                 1.0836,                0.67473,                 1.3664,                0.85738,                0.66549,                0.77102,                0.49769,                 1.4954,                 1.1374,                 1.7771,              0.0003928,              0.0003928,              0.0003928
                     48,                  1.073,                0.65166,                 1.3559,                0.87444,                0.62731,                0.70395,                0.45057,                 1.5064,                 1.4355,                 1.7728,              0.0003796,              0.0003796,              0.0003796
                     49,                 1.0551,                0.65569,                   1.33,                0.85059,                0.63022,                 0.6864,                0.46658,                 1.4799,                 1.5522,                 1.8003,              0.0003664,              0.0003664,              0.0003664
                     50,                 1.0803,                0.63653,                 1.3475,                0.82568,                0.57678,                0.59273,                0.38922,                  1.474,                 1.8662,                 1.7789,              0.0003532,              0.0003532,              0.0003532
                     51,                 1.0274,                0.62232,                 1.3095,                0.94173,                0.61993,                0.70794,                0.48538,                  1.402,                  1.758,                 1.6457,                0.00034,                0.00034,                0.00034
                     52,                 1.0271,                0.59757,                 1.3044,                 0.8719,                0.65299,                0.71999,                0.49065,                 1.4262,                 1.4048,                 1.7001,              0.0003268,              0.0003268,              0.0003268
                     53,                 1.0094,                0.59403,                 1.3003,                0.86138,                 0.6679,                0.73641,                0.49403,                 1.5047,                 1.3356,                 1.7518,              0.0003136,              0.0003136,              0.0003136
                     54,                 1.0244,                0.58135,                 1.3006,                0.85617,                 0.6679,                0.75024,                0.50027,                 1.3769,                  1.203,                 1.6624,              0.0003004,              0.0003004,              0.0003004
                     55,                 1.0071,                0.60539,                 1.3158,                0.87228,                0.64945,                0.73319,                0.49741,                  1.382,                 1.2727,                 1.6477,              0.0002872,              0.0002872,              0.0002872
                     56,                 1.0035,                0.58478,                 1.3046,                0.87087,                0.64945,                0.71479,                0.48215,                  1.473,                 1.4815,                 1.7707,               0.000274,               0.000274,               0.000274
                     57,                0.97072,                 0.5659,                 1.2956,                0.89353,                0.65032,                0.73471,                0.50611,                  1.394,                  1.497,                 1.7073,              0.0002608,              0.0002608,              0.0002608
                     58,                0.96821,                0.56981,                 1.2842,                0.92454,                0.63838,                0.71427,                 0.5048,                 1.4092,                 1.5465,                 1.7034,              0.0002476,              0.0002476,              0.0002476
                     59,                0.97898,                0.56145,                 1.2765,                 0.8922,                0.65314,                0.70498,                0.49468,                 1.3956,                   1.45,                 1.7012,              0.0002344,              0.0002344,              0.0002344
                     60,                0.95988,                0.56171,                 1.2861,                0.86394,                0.40959,                0.47176,                 0.3009,                 1.4133,                 1.2583,                 1.7536,              0.0002212,              0.0002212,              0.0002212
                     61,                0.92018,                0.53961,                 1.2581,                 0.8468,                0.58672,                 0.6225,                 0.4111,                 1.4141,                 1.4192,                 1.7464,               0.000208,               0.000208,               0.000208
                     62,                  0.971,                0.54978,                 1.2796,                0.89708,                  0.631,                0.67406,                0.46463,                 1.3583,                 1.3629,                  1.693,              0.0001948,              0.0001948,              0.0001948
                     63,                0.92591,                0.52447,                 1.2687,                0.90472,                0.66421,                0.73916,                0.50536,                 1.4003,                 1.3084,                 1.7106,              0.0001816,              0.0001816,              0.0001816
                     64,                0.89821,                0.52258,                 1.2504,                 0.8677,                0.66421,                0.70316,                0.49584,                 1.3618,                 1.3981,                 1.6751,              0.0001684,              0.0001684,              0.0001684
                     65,                0.88378,                0.51483,                 1.2445,                0.87368,                0.66354,                0.70576,                0.49378,                 1.3898,                  1.473,                 1.7094,              0.0001552,              0.0001552,              0.0001552
                     66,                0.86388,                0.40704,                 1.2315,                0.92481,                0.64576,                0.71261,                0.49966,                 1.3534,                 1.4149,                 1.6559,               0.000142,               0.000142,               0.000142
                     67,                0.81574,                0.37679,                 1.1837,                0.92549,                0.63838,                0.70266,                0.49347,                 1.3539,                 1.5747,                 1.6583,              0.0001288,              0.0001288,              0.0001288
                     68,                0.84468,                0.39495,                 1.2069,                0.89216,                0.65683,                0.71033,                0.51551,                 1.2955,                 1.5167,                 1.6128,              0.0001156,              0.0001156,              0.0001156
                     69,                0.80977,                0.37676,                 1.1735,                0.92585,                0.64509,                0.70054,                0.49407,                 1.3708,                 1.5146,                 1.6617,              0.0001024,              0.0001024,              0.0001024
                     70,                0.83038,                0.37045,                  1.189,                0.88613,                0.65683,                0.70155,                0.49811,                 1.3683,                 1.4809,                  1.665,               8.92e-05,               8.92e-05,               8.92e-05
                     71,                0.79303,                0.37268,                 1.1688,                0.89808,                0.65031,                0.71146,                0.50954,                 1.3372,                 1.4492,                 1.6477,                7.6e-05,                7.6e-05,                7.6e-05
                     72,                0.79495,                0.35828,                 1.1701,                0.86636,                0.66981,                0.72312,                0.51068,                  1.357,                 1.3522,                 1.6549,               6.28e-05,               6.28e-05,               6.28e-05
                     73,                0.79025,                0.35729,                 1.1603,                0.92363,                0.64207,                0.72709,                0.51613,                 1.3506,                 1.3013,                 1.6585,               4.96e-05,               4.96e-05,               4.96e-05
                     74,                0.78679,                0.35418,                   1.16,                0.90349,                0.65636,                0.72805,                0.51833,                 1.3401,                 1.3482,                 1.6605,               3.64e-05,               3.64e-05,               3.64e-05
                     75,                0.76945,                0.35365,                 1.1347,                0.89071,                0.66164,                0.73277,                0.52672,                  1.341,                 1.3461,                 1.6607,               2.32e-05,               2.32e-05,               2.32e-05
