                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.95458,                0.54858,                 1.1475,                0.96254,                0.66377,                0.78632,                0.53347,                 1.4328,                0.94143,                 1.5631,                0.00034,                0.00034,                0.00034
                     52,                0.97963,                0.52977,                 1.1624,                0.89348,                0.68096,                0.77831,                0.53695,                 1.4081,                 1.1217,                 1.5562,              0.0003268,              0.0003268,              0.0003268
                     53,                0.94869,                0.52217,                 1.1395,                0.92166,                0.65118,                0.78329,                0.51987,                 1.4588,                 1.0216,                 1.6282,              0.0003136,              0.0003136,              0.0003136
                     54,                0.95404,                 0.5142,                 1.1482,                0.94731,                0.66348,                0.74024,                0.50529,                 1.4168,                 1.2476,                 1.5288,              0.0003004,              0.0003004,              0.0003004
                     55,                0.96085,                0.52924,                 1.1586,                0.95075,                0.66421,                0.70727,                0.50366,                 1.3561,                 1.3907,                 1.4472,              0.0002872,              0.0002872,              0.0002872
                     56,                0.93365,                0.51593,                 1.1364,                0.95675,                0.65307,                0.70448,                0.50184,                  1.322,                 1.3006,                 1.4712,               0.000274,               0.000274,               0.000274
                     57,                0.90206,                0.50131,                 1.1269,                0.95688,                0.65503,                0.72879,                0.52888,                 1.3136,                 1.2868,                 1.4813,              0.0002608,              0.0002608,              0.0002608
                     58,                0.91227,                0.50317,                 1.1316,                 0.9292,                0.67805,                0.72272,                0.51422,                  1.347,                 1.2544,                 1.5227,              0.0002476,              0.0002476,              0.0002476
                     59,                0.91535,                0.50969,                 1.1305,                0.95194,                 0.6679,                0.73391,                0.52687,                 1.3439,                 1.3525,                 1.5055,              0.0002344,              0.0002344,              0.0002344
                     60,                0.90141,                0.49339,                 1.1298,                0.95651,                 0.6679,                0.71597,                0.51028,                 1.3819,                 1.4139,                 1.4774,              0.0002212,              0.0002212,              0.0002212
                     61,                0.88042,                0.47133,                 1.1098,                0.96994,                0.64576,                0.74124,                0.52469,                 1.3619,                 1.2586,                   1.45,               0.000208,               0.000208,               0.000208
                     62,                0.90955,                0.50296,                 1.1135,                0.94239,                0.66402,                0.71164,                0.51452,                 1.3407,                 1.3412,                 1.4392,              0.0001948,              0.0001948,              0.0001948
