                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.2339,                 1.4037,                 2.9021,                0.80285,                0.59041,                0.65221,                0.41216,                 3.0125,                  2.834,                  3.637,              0.0004192,              0.0004192,              0.0004192
                     46,                 2.2311,                 1.4407,                 2.8369,                0.79336,                0.59779,                0.62383,                0.40464,                 2.9797,                 3.4697,                 3.6481,               0.000406,               0.000406,               0.000406
                     47,                 2.2191,                 1.4166,                 2.8607,                0.82021,                0.62285,                0.61298,                0.40334,                 2.8604,                 4.0489,                 3.5963,              0.0003928,              0.0003928,              0.0003928
                     48,                 2.2181,                 1.3928,                 2.8718,                0.78612,                0.62362,                0.65163,                  0.451,                 2.8262,                 4.1479,                 3.6011,              0.0003796,              0.0003796,              0.0003796
                     49,                 2.1959,                 1.3841,                 2.8028,                0.74076,                0.60148,                0.60415,                0.39839,                 3.0665,                 3.6437,                 3.8834,              0.0003664,              0.0003664,              0.0003664
                     50,                 2.2396,                 1.3325,                 2.8238,                 0.7853,                0.60737,                0.63084,                0.41879,                 3.0223,                  3.834,                 3.7602,              0.0003532,              0.0003532,              0.0003532
                     51,                 2.1723,                 1.3669,                 2.8352,                0.82827,                0.60886,                0.67933,                 0.4836,                 2.8098,                 3.8744,                  3.603,                0.00034,                0.00034,                0.00034
                     52,                 2.1463,                 1.2994,                 2.8029,                0.86221,                0.56458,                0.64553,                0.45023,                 2.8607,                 3.3787,                 3.6391,              0.0003268,              0.0003268,              0.0003268
                     53,                 2.1186,                  1.275,                 2.7719,                0.82026,                0.63469,                0.69538,                 0.4748,                 2.8826,                 2.8556,                 3.5976,              0.0003136,              0.0003136,              0.0003136
                     54,                   2.15,                 1.1899,                 2.7952,                0.82776,                0.62069,                 0.6593,                0.44778,                  2.847,                 3.3133,                  3.529,              0.0003004,              0.0003004,              0.0003004
                     55,                 2.0917,                 1.2653,                 2.8133,                0.80613,                  0.631,                0.65422,                  0.464,                 2.7875,                 3.4844,                  3.446,              0.0002872,              0.0002872,              0.0002872
                     56,                 2.0483,                   1.22,                 2.7348,                0.81861,                0.61624,                0.66943,                0.47393,                 2.7518,                 3.4081,                 3.5137,               0.000274,               0.000274,               0.000274
                     57,                  2.026,                 1.1666,                 2.7122,                0.80549,                0.62653,                0.67177,                0.47077,                 2.7596,                 3.5008,                  3.486,              0.0002608,              0.0002608,              0.0002608
                     58,                 2.0409,                 1.1769,                 2.7584,                0.83867,                0.61255,                0.67067,                 0.4645,                 2.8198,                 3.5186,                 3.5627,              0.0002476,              0.0002476,              0.0002476
                     59,                 2.0454,                 1.1846,                 2.7336,                0.88875,                0.60517,                0.70406,                0.49815,                 2.8448,                 3.4134,                 3.5001,              0.0002344,              0.0002344,              0.0002344
                     60,                 2.0352,                 1.2064,                 2.7516,                0.79736,                0.62435,                0.65013,                 0.4523,                 2.8434,                 3.5233,                 3.5804,              0.0002212,              0.0002212,              0.0002212
                     61,                 1.9671,                 1.1498,                 2.6844,                0.86991,                0.63469,                 0.6627,                0.46591,                  2.937,                   3.26,                 3.6536,               0.000208,               0.000208,               0.000208
                     62,                 2.0528,                 1.2043,                 2.7198,                  0.879,                0.58975,                0.66549,                0.47194,                 2.9651,                 3.4303,                 3.7131,              0.0001948,              0.0001948,              0.0001948
                     63,                 1.9135,                 1.1028,                 2.6673,                 0.8841,                0.61924,                0.70129,                0.49221,                 3.0222,                 3.4031,                 3.7176,              0.0001816,              0.0001816,              0.0001816
                     64,                 1.9117,                 1.1157,                 2.6479,                0.84495,                0.63469,                0.70042,                0.49862,                 2.9987,                 3.2612,                 3.7063,              0.0001684,              0.0001684,              0.0001684
                     65,                 1.9164,                 1.1118,                 2.6408,                0.87977,                0.62731,                 0.7025,                0.50814,                  2.936,                 3.6324,                 3.6883,              0.0001552,              0.0001552,              0.0001552
                     66,                 1.7972,                0.77796,                 2.6175,                0.90799,                0.61907,                0.69934,                0.49804,                 2.8887,                 3.7701,                 3.6018,               0.000142,               0.000142,               0.000142
                     67,                 1.7509,                0.73444,                 2.5367,                0.89031,                0.62362,                0.68934,                0.49457,                 2.7822,                 3.7332,                 3.5576,              0.0001288,              0.0001288,              0.0001288
                     68,                 1.7536,                0.76698,                 2.5856,                0.87455,                0.64311,                0.72146,                0.52591,                 2.7838,                  3.818,                 3.5331,              0.0001156,              0.0001156,              0.0001156
                     69,                 1.6796,                0.71414,                 2.4959,                 0.8962,                0.63722,                0.72556,                0.52956,                 2.7311,                 3.9201,                 3.4954,              0.0001024,              0.0001024,              0.0001024
                     70,                 1.7194,                0.67479,                 2.5122,                0.89624,                0.61993,                0.71126,                0.51976,                 2.7563,                 3.7814,                 3.5028,               8.92e-05,               8.92e-05,               8.92e-05
                     71,                 1.6391,                 0.7166,                 2.4954,                0.89357,                0.61965,                0.70502,                0.51638,                 2.7289,                 3.6864,                 3.5226,                7.6e-05,                7.6e-05,                7.6e-05
                     72,                 1.6728,                0.66409,                 2.4825,                0.86894,                0.63609,                0.70707,                0.50984,                 2.7335,                 3.6715,                 3.5199,               6.28e-05,               6.28e-05,               6.28e-05
                     73,                 1.6353,                0.65361,                 2.4565,                0.91748,                0.62362,                0.70785,                0.52036,                 2.7105,                 3.6396,                 3.5166,               4.96e-05,               4.96e-05,               4.96e-05
                     74,                 1.6003,                0.66657,                 2.4504,                0.91337,                0.62246,                0.70257,                0.51444,                  2.754,                 3.5745,                 3.5544,               3.64e-05,               3.64e-05,               3.64e-05
                     75,                 1.6291,                 0.6463,                 2.4403,                0.90948,                0.63838,                0.70391,                0.51677,                 2.7318,                  3.636,                  3.537,               2.32e-05,               2.32e-05,               2.32e-05
